"file_id","input_path","output_path","review_type","field","original_value","candidate","confidence","status","reason","evidence","score","legacy_rejection","ambiguity","density_gap","center_density","center_edge_ratio","threshold_vote_ratio","multiscale_stability"
"MX-M3658N_20260731_164536_004.png",".jcode_runs\regression\underfill\MX-M3658N_20260731_164536_004.pdf","outputs\underfill\CheckedOMRs\MX-M3658N_20260731_164536_004.png","ID_REVIEW","id1","","8","0.160","LOW_CONFIDENCE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","0.80","adaptive_max_mean","0.840","0.008","0.486","2.372","0.000","0.000"
"MX-M3658N_20260731_164536_004.png",".jcode_runs\regression\underfill\MX-M3658N_20260731_164536_004.pdf","outputs\underfill\CheckedOMRs\MX-M3658N_20260731_164536_004.png","ID_REVIEW","id2","","8","0.140","LOW_CONFIDENCE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","0.70","adaptive_max_mean","0.860","0.015","0.500","2.614","0.000","0.000"
"MX-M3658N_20260731_164536_004.png",".jcode_runs\regression\underfill\MX-M3658N_20260731_164536_004.pdf","outputs\underfill\CheckedOMRs\MX-M3658N_20260731_164536_004.png","ID_REVIEW","id3","","8","0.152","LOW_CONFIDENCE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","0.76","adaptive_max_mean","0.848","0.012","0.500","2.542","0.000","0.000"
"MX-M3658N_20260731_164536_004.png",".jcode_runs\regression\underfill\MX-M3658N_20260731_164536_004.pdf","outputs\underfill\CheckedOMRs\MX-M3658N_20260731_164536_004.png","ID_REVIEW","id4","","9","0.104","LOW_CONFIDENCE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","0.52","adaptive_max_mean","0.896","-0.019","0.424","2.584","0.000","0.000"
"MX-M3658N_20260731_164536_004.png",".jcode_runs\regression\underfill\MX-M3658N_20260731_164536_004.pdf","outputs\underfill\CheckedOMRs\MX-M3658N_20260731_164536_004.png","ID_REVIEW","id5","","8","0.115","LOW_CONFIDENCE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","0.57","adaptive_max_mean","0.885","-0.004","0.438","2.714","0.000","0.000"
"MX-M3658N_20260731_164536_004.png",".jcode_runs\regression\underfill\MX-M3658N_20260731_164536_004.pdf","outputs\underfill\CheckedOMRs\MX-M3658N_20260731_164536_004.png","ID_REVIEW","id6","","8","0.066","LOW_CONFIDENCE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","0.33","adaptive_max_mean","0.934","0.000","0.486","2.917","0.000","0.000"
"MX-M3658N_20260731_164536_004.png",".jcode_runs\regression\underfill\MX-M3658N_20260731_164536_004.pdf","outputs\underfill\CheckedOMRs\MX-M3658N_20260731_164536_004.png","ID_REVIEW","id7","","8","0.098","LOW_CONFIDENCE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","0.49","adaptive_max_mean","0.902","0.004","0.486","2.965","0.000","0.000"
"MX-M3658N_20260731_164536_004.png",".jcode_runs\regression\underfill\MX-M3658N_20260731_164536_004.pdf","outputs\underfill\CheckedOMRs\MX-M3658N_20260731_164536_004.png","ID_REVIEW","id8","","8","0.183","LOW_CONFIDENCE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","0.92","adaptive_max_mean","0.817","-0.019","0.361","1.537","0.000","0.000"
