"file_id","input_path","output_path","review_type","field","original_value","candidate","confidence","status","reason","evidence","score","legacy_rejection","ambiguity","density_gap","center_density","center_edge_ratio","threshold_vote_ratio","multiscale_stability"
"MX-M3658N_20260731_160125_005.png",".jcode_runs\regression\normal\MX-M3658N_20260731_160125_005.pdf","outputs\normal\CheckedOMRs\MX-M3658N_20260731_160125_005.png","ID_REVIEW","id8","","6","0.902","RESOLVED_CANDIDATE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","4.51","","0.098","0.262","0.729","1.689","0.000","0.000"
"MX-M3658N_20260731_160125_016.png",".jcode_runs\regression\normal\MX-M3658N_20260731_160125_016.pdf","outputs\normal\CheckedOMRs\MX-M3658N_20260731_160125_016.png","SINGLE_CHOICE_CONFLICT_REVIEW","q4","CD","D","0.464","REVIEW","single_choice_conflict","gap,delta_from_blank","2.32","","0.536","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260731_160125_021.png",".jcode_runs\regression\normal\MX-M3658N_20260731_160125_021.pdf","outputs\normal\CheckedOMRs\MX-M3658N_20260731_160125_021.png","SINGLE_CHOICE_CONFLICT_REVIEW","q2","AC","C","0.469","REVIEW","single_choice_conflict","gap,delta_from_blank","2.35","","0.531","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260731_160125_026.png",".jcode_runs\regression\normal\MX-M3658N_20260731_160125_026.pdf","outputs\normal\CheckedOMRs\MX-M3658N_20260731_160125_026.png","SINGLE_CHOICE_CONFLICT_REVIEW","q1","AC","A","0.452","REVIEW","single_choice_conflict","gap,delta_from_blank","2.26","","0.548","0.000","0.000","0.000","0.000","0.000"
