scenario,asset_dir,pdf_count,rows,id_total_cells,id_blank_cells,id_recognized_cells,id_recognition_rate,q_total_cells,q_blank_cells,q_recognized_cells,q_recognition_rate,total_cells,blank_cells,recognized_cells,overall_recognition_rate,blank_rows,csv,classified_csv,review_csv,classified_review_csv,review_total,review_status_counts,review_type_counts
weak,淡涂答题卡归档,10,10,80,1,79,0.9875,110,3,107,0.9727272727272728,190,4,186,0.9789473684210527,4,outputs\weak_20260803_015434\Results\Results_09AM.csv,outputs\Results\weak_淡涂答题卡归档_Results.csv,outputs\weak_20260803_015434\Results\WeakFillReview.csv,outputs\Results\weak_淡涂答题卡归档_WeakFillReview.csv,20,"LEGACY=3, LOW_CONFIDENCE=1, RESOLVED_CANDIDATE=11, REVIEW=5","ID_REVIEW=12, SINGLE_CHOICE_CONFLICT_REVIEW=5, WEAK_MARK_REVIEW=3"
normal,正常填涂测试答题卡归档,56,56,448,0,448,1.0,616,0,616,1.0,1064,0,1064,1.0,0,outputs\normal\Results\Results_09AM.csv,outputs\Results\normal_正常填涂测试答题卡归档_Results.csv,outputs\normal\Results\WeakFillReview.csv,outputs\Results\normal_正常填涂测试答题卡归档_WeakFillReview.csv,4,"RESOLVED_CANDIDATE=1, REVIEW=3","ID_REVIEW=1, SINGLE_CHOICE_CONFLICT_REVIEW=3"
underfill,没涂满答题卡归档,4,4,32,8,24,0.75,44,0,44,1.0,76,8,68,0.8947368421052632,1,outputs\underfill\Results\Results_09AM.csv,outputs\Results\underfill_没涂满答题卡归档_Results.csv,outputs\underfill\Results\WeakFillReview.csv,outputs\Results\underfill_没涂满答题卡归档_WeakFillReview.csv,8,LOW_CONFIDENCE=8,ID_REVIEW=8
overflow,涂超出答题卡归档,4,4,32,0,32,1.0,44,0,44,1.0,76,0,76,1.0,0,outputs\overflow\Results\Results_09AM.csv,outputs\Results\overflow_涂超出答题卡归档_Results.csv,outputs\overflow\Results\WeakFillReview.csv,,0,,
